# FlightWaves – Lärmklassen (ICAO-Typenkürzel -> Klasse)
#
# Erzeugt mit tool/build_noise_classes.py.
# Ebene 1 kuratiert: 168 Verkehrsflugzeuge aus flightwaves-app-android
# Ebene 2 Sammelkürzel: 44
# Ebene 3 Doc 8643 (.work/doc8643.csv): der Rest
# Einträge: 2730
typecode,noise_class
G15T,lightPiston
G160,turboprop
G164,lightPiston
G180,lightPiston
G200,lightPiston
G202,lightPiston
G21,lightPiston
G21M,lightPiston
G21T,turboprop
G222,turboprop
G250,mediumJet
G280,mediumJet
G2CA,helicopter
G2GL,regionalJet
G2T1,lightPiston
G3,lightPiston
G44,lightPiston
G450,regionalJet
G46,lightPiston
G4SG,regionalJet
G550,regionalJet
G59,lightPiston
G64T,turboprop
G650,regionalJet
G70,lightPiston
G73,lightPiston
G73T,turboprop
G800,lightPiston
G91,regionalJet
G96,lightPiston
G97,lightPiston
GA10,turboprop
GA20,lightPiston
GA4C,mediumJet
GA5C,mediumJet
GA6C,mediumJet
GA7,lightPiston
GA7C,mediumJet
GA8,lightPiston
GA8C,mediumJet
GABR,lightPiston
GALX,mediumJet
GANT,turboprop
GAUN,lightPiston
GAVI,lightPiston
GAZL,helicopter
GB1,lightPiston
GBSP,lightPiston
GC1,lightPiston
GDUK,lightPiston
GEMI,lightPiston
GENI,unpowered
GEPE,lightPiston
GJ11,mediumJet
GL5T,regionalJet
GL6T,regionalJet
GL7T,mediumJet
GLAD,lightPiston
GLAS,lightPiston
GLEX,mediumJet
GLF2,mediumJet
GLF3,mediumJet
GLF4,regionalJet
GLF5,regionalJet
GLF6,regionalJet
GLID,unpowered
GLSP,lightPiston
GLST,lightPiston
GLTU,turboprop
GM17,turboprop
GMGC,lightPiston
GNAT,regionalJet
GND,notAircraft
GOBU,lightPiston
GOLF,lightPiston
GOOS,lightPiston
GP1,lightPiston
GP3,lightPiston
GP4,lightPiston
GPRO,lightPiston
GR51,turboprop
GRFN,lightPiston
GRIF,lightPiston
GRIZ,turboprop
GRND,notAircraft
GSIS,lightPiston
GSPN,regionalJet
GUEP,lightPiston
GURI,lightPiston
GX,lightPiston
GY10,lightPiston
GY20,lightPiston
GY30,lightPiston
GY80,lightPiston
GYRO,lightPiston
H111,lightPiston
H12T,helicopter
H135,helicopter
H145,helicopter
H160,helicopter
H2,helicopter
H202,lightPiston
H207,lightPiston
H21,helicopter
H25A,mediumJet
H25B,regionalJet
H25C,mediumJet
H269,helicopter
H40,lightPiston
H43A,helicopter
H43B,helicopter
H46,helicopter
H47,helicopter
H500,helicopter
H53,helicopter
H53S,helicopter
H60,helicopter
H64,helicopter
HA2,lightPiston
HA31,lightPiston
HA4T,mediumJet
HAHU,lightPiston
HANS,lightPiston
HAR,mediumJet
HAW3,lightPiston
HAWK,regionalJet
HB21,lightPiston
HB23,lightPiston
HB3,lightPiston
HCAT,lightPiston
HD34,lightPiston
HDJT,regionalJet
HEAD,lightPiston
HERN,lightPiston
HF20,mediumJet
HI27,lightPiston
HIGH,lightPiston
HIND,lightPiston
HL2,lightPiston
HLC4,lightPiston
HLD4,lightPiston
HM38,lightPiston
HN70,lightPiston
HORN,lightPiston
HORZ,lightPiston
HR10,lightPiston
HR20,lightPiston
HRM9,lightPiston
HRNT,lightPiston
HROC,lightPiston
HRON,lightPiston
HSMT,helicopter
HT16,regionalJet
HT2,lightPiston
HT36,regionalJet
HT40,turboprop
HU1,lightPiston
HU2,lightPiston
HUCO,helicopter
HUML,lightPiston
HUNT,mediumJet
HURI,lightPiston
HURK,turboprop
HUSK,lightPiston
HW4P,lightPiston
HW4T,lightPiston
HX2,helicopter
HYPR,lightPiston
I103,lightPiston
I112,turboprop
I114,turboprop
I115,lightPiston
I11B,lightPiston
I153,lightPiston
I15B,lightPiston
I16,lightPiston
I22,mediumJet
I23,lightPiston
I3,lightPiston
I66,lightPiston
IA46,lightPiston
IA58,turboprop
IA63,regionalJet
IFUR,lightPiston
IL14,lightPiston
IL18,turboprop
IL28,mediumJet
IL38,turboprop
IL62,heavyJet
IL76,heavyJet
IL86,heavyJet
IL96,heavyJet
IMPU,lightPiston
INCQ,lightPiston
INEC,lightPiston
INEX,lightPiston
INTG,lightPiston
ION,lightPiston
IP06,lightPiston
IP10,lightPiston
IP26,lightPiston
IP6A,lightPiston
IPAN,lightPiston
IR22,lightPiston
IR23,lightPiston
IR24,lightPiston
